1,Anthony Davis,LAL,6,35.8,31.8,11.2,19.5,57.3,0.3,1.3,25.0,9.2,11.7,78.6,2.3,9.7,12.0,2.8,1.8,2.0,2.3,37.3
2,Giannis Antetokounmpo,MIL,6,35.2,31.0,12.7,20.0,63.3,0.0,0.5,0.0,5.7,10.7,53.1,1.8,10.5,12.3,6.3,0.5,0.5,3.0,35.3
3,Jayson Tatum,BOS,7,35.1,30.3,9.6,19.9,48.2,3.9,11.3,34.2,7.3,9.3,78.5,0.7,6.9,7.6,4.6,1.9,0.6,2.7,29.9
4,LaMelo Ball,CHA,6,34.0,30.2,10.5,22.2,47.4,5.0,12.3,40.5,4.2,4.7,89.3,1.0,4.0,5.0,6.3,1.5,0.3,5.5,25.7
5,Nikola Jokić,DEN,6,37.7,29.8,10.8,19.3,56.0,2.7,4.5,59.3,5.5,6.8,80.5,3.8,8.5,12.3,9.8,1.5,1.0,3.3,41.3
6,Tyrese Maxey,PHI,5,41.0,29.8,10.0,26.0,38.5,3.0,11.4,26.3,6.8,8.2,82.9,0.0,3.4,3.4,4.8,1.6,0.6,2.2,20.6
7,Paolo Banchero,ORL,5,36.4,29.0,9.6,19.4,49.5,2.2,6.4,34.4,7.6,11.8,64.4,2.4,6.4,8.8,5.6,0.6,0.8,2.2,28.6
8,Anthony Edwards,MIN,6,38.5,28.3,10.0,21.7,46.2,5.3,12.3,43.2,3.0,4.8,62.1,0.2,5.5,5.7,3.3,0.8,0.5,3.5,21.7
9,Luka Dončić,DAL,6,36.3,28.0,9.8,24.3,40.4,3.2,10.2,31.1,5.2,6.8,75.6,0.7,7.8,8.5,6.2,0.8,0.5,2.7,25.2
10,Trae Young,ATL,7,37.9,27.0,7.9,19.0,41.4,3.3,9.9,33.3,8.0,8.9,90.3,1.1,3.9,5.0,11.7,1.3,0.3,5.1,28.1
11,Devin Booker,PHX,6,36.3,26.7,8.2,17.7,46.2,3.3,8.3,40.0,7.0,8.0,87.5,1.2,3.0,4.2,5.7,1.2,0.3,2.0,25.5
12,Cam Thomas,BKN,7,34.0,26.6,8.6,19.9,43.2,2.7,8.3,32.8,6.7,7.3,92.2,0.6,2.7,3.3,2.7,1.0,0.0,2.4,19.3
13,Shai Gilgeous-Alexander,OKC,6,31.5,26.5,9.5,20.2,47.1,2.0,7.2,27.9,5.5,6.0,91.7,1.2,5.5,6.7,6.5,1.8,1.2,1.8,29.7
14,Damian Lillard,MIL,6,35.7,26.2,7.7,17.3,44.2,3.7,10.0,36.7,7.2,8.2,87.8,1.0,4.0,5.0,6.7,0.5,0.3,2.5,25.5
15,Kevin Durant,PHX,6,39.3,25.8,9.0,17.3,51.9,2.5,5.7,44.1,5.3,6.7,80.0,0.2,6.8,7.0,3.0,0.8,1.5,3.3,25.2
16,Jaylen Brown,BOS,6,36.0,25.7,8.7,21.7,40.0,2.0,7.5,26.7,6.3,7.8,80.9,1.7,5.5,7.2,3.8,1.5,0.5,2.2,22.0
17,Jalen Brunson,NYK,5,31.8,25.4,9.4,19.4,48.5,2.6,5.2,50.0,4.0,5.2,76.9,0.4,2.0,2.4,5.6,0.4,0.0,1.8,20.8
18,DeMar DeRozan,SAC,6,38.2,25.3,8.8,16.8,52.5,0.8,2.5,33.3,6.8,8.0,85.4,0.7,3.8,4.5,3.7,2.3,0.3,2.2,24.8
19,Norman Powell,LAC,6,33.0,25.2,9.3,18.2,51.4,3.7,8.7,42.3,2.8,3.3,85.0,0.3,2.5,2.8,1.7,0.8,0.3,1.8,19.7
20,Donovan Mitchell,CLE,7,29.6,24.4,9.3,18.6,50.0,3.1,7.9,40.0,2.7,3.4,79.2,0.7,2.0,2.7,4.3,1.4,0.1,2.4,20.6
21,Brandon Ingram,NOP,7,32.4,24.3,9.6,18.9,50.8,2.7,6.4,42.2,2.4,2.7,89.5,1.4,5.0,6.4,4.1,0.9,0.7,2.9,24.0
22,Jalen Green,HOU,6,34.7,24.2,8.2,20.3,40.2,3.8,9.8,39.0,4.0,4.8,82.8,0.5,4.2,4.7,3.0,0.8,0.5,2.3,17.8
23,Cade Cunningham,DET,7,35.9,24.1,9.4,19.1,49.3,2.4,6.1,39.5,2.9,3.4,83.3,0.7,5.0,5.7,6.9,0.7,1.0,5.1,23.0
24,De'Aaron Fox,SAC,6,37.5,23.5,8.5,17.8,47.7,1.8,6.8,26.8,4.7,5.3,87.5,1.0,4.2,5.2,5.7,2.5,0.0,4.2,22.7
25,Kyrie Irving,DAL,6,35.3,23.3,8.5,17.8,47.7,3.3,5.7,58.8,3.0,3.5,85.7,1.5,2.7,4.2,5.2,1.5,0.3,1.7,23.0
26,Julius Randle,MIN,6,34.3,22.8,8.3,14.0,59.5,2.0,4.0,50.0,4.2,5.3,78.1,1.7,5.2,6.8,4.8,0.5,0.0,3.0,25.2
27,Zach LaVine,CHI,6,34.7,22.7,7.7,15.5,49.5,3.7,8.0,45.8,3.7,4.5,81.5,0.3,5.2,5.5,2.7,0.8,0.5,3.7,19.8
28,Jordan Poole,WAS,5,30.4,22.2,7.2,15.6,46.2,4.4,8.6,51.2,3.4,3.6,94.4,0.4,0.8,1.2,5.4,2.8,0.6,3.4,20.2
28,Karl-Anthony Towns,NYK,5,30.8,22.2,7.8,14.2,54.9,2.2,3.4,64.7,4.4,4.8,91.7,2.2,9.0,11.2,3.0,0.8,0.6,1.2,29.8
30,Buddy Hield,GSW,6,25.3,22.2,7.8,15.2,51.6,5.0,9.7,51.7,1.5,1.7,90.0,0.8,3.3,4.2,2.5,1.0,0.5,1.3,21.5
30,LeBron James,LAL,6,34.0,22.2,7.8,15.8,49.5,2.5,5.7,44.1,4.0,5.3,75.0,0.2,6.5,6.7,7.2,0.3,0.5,2.8,24.7
32,James Harden,LAC,6,35.5,21.8,6.5,18.0,36.1,2.5,9.3,26.8,6.3,7.3,86.4,0.7,8.2,8.8,10.8,1.7,1.0,5.5,26.2
33,Domantas Sabonis,SAC,6,36.8,21.5,7.7,12.3,62.2,1.0,2.0,50.0,5.2,6.3,81.6,3.2,9.8,13.0,6.3,0.7,0.3,3.0,33.0
33,Nikola Vučević,CHI,6,33.3,21.5,8.0,14.5,55.2,2.3,4.7,50.0,3.2,3.3,95.0,3.0,8.0,11.0,3.3,0.3,0.7,1.7,28.5
35,Zion Williamson,NOP,5,31.4,21.4,7.6,17.2,44.2,0.4,1.2,33.3,5.8,9.4,61.7,2.8,5.2,8.0,5.6,0.6,1.2,3.6,20.0
36,Gradey Dick,TOR,7,32.0,21.0,7.4,15.9,46.8,2.7,7.3,37.3,3.4,3.7,92.3,0.7,2.0,2.7,1.9,1.1,0.4,1.4,17.0
37,Tyler Herro,MIA,5,30.0,20.8,7.2,15.0,48.0,3.6,8.2,43.9,2.8,3.6,77.8,0.2,4.8,5.0,4.4,0.6,0.2,1.8,20.6
38,Jaren Jackson Jr.,MEM,5,26.4,20.4,7.8,13.2,59.1,1.2,3.2,37.5,3.6,5.6,64.3,1.0,4.0,5.0,0.8,1.6,1.0,1.6,19.8
39,Ja Morant,MEM,6,27.7,20.0,6.5,14.3,45.3,0.8,4.2,20.0,6.2,7.5,82.2,0.5,4.7,5.2,9.8,0.7,0.2,4.3,22.3
40,Dennis Schröder,BKN,7,34.7,19.9,6.9,13.4,51.1,3.3,6.3,52.3,2.9,3.3,87.0,0.1,3.0,3.1,7.4,1.4,0.0,2.6,22.3
41,Pascal Siakam,IND,6,33.2,19.8,8.0,14.7,54.5,2.2,4.8,44.8,1.7,2.7,62.5,2.2,5.0,7.2,5.3,0.8,0.3,1.5,24.3
42,Bilal Coulibaly,WAS,5,34.0,19.4,6.8,11.2,60.7,2.0,4.2,47.6,3.8,4.8,79.2,2.2,4.0,6.2,2.6,1.2,0.2,2.0,22.2
43,Coby White,CHI,6,33.8,19.3,6.5,14.8,43.8,3.5,9.3,37.5,2.8,3.7,77.3,0.3,4.0,4.3,4.3,1.2,0.2,2.5,17.7
44,Tre Mann,CHA,6,27.7,19.2,7.2,15.3,46.7,2.7,6.0,44.4,2.2,2.2,100,1.2,2.2,3.3,3.5,0.7,0.5,2.2,16.8
45,Anfernee Simons,POR,7,34.1,18.9,6.0,16.9,35.6,2.6,8.3,31.0,4.3,4.7,90.9,0.3,2.6,2.9,5.3,0.9,0.1,2.7,14.0
46,Desmond Bane,MEM,5,26.4,18.8,7.0,14.4,48.6,2.6,6.4,40.6,2.2,2.4,91.7,1.0,4.4,5.4,2.8,1.0,0.6,1.8,19.2
47,Derrick White,BOS,7,33.6,18.7,6.3,13.3,47.3,3.6,8.7,41.0,2.6,2.7,94.7,0.7,3.4,4.1,3.9,0.9,1.1,1.0,20.6
47,Jaden Ivey,DET,7,31.7,18.7,6.6,14.9,44.2,2.1,5.6,38.5,3.4,4.4,77.4,1.4,3.1,4.6,3.6,1.0,0.1,2.9,15.9
49,Jerami Grant,POR,7,33.3,18.6,6.4,16.9,38.1,2.9,8.3,34.5,2.9,3.6,80.0,0.4,4.4,4.9,1.9,0.9,1.6,2.0,14.6
50,Jalen Johnson,ATL,7,37.1,18.1,6.7,15.0,44.8,0.9,4.0,21.4,3.9,5.9,65.9,2.1,7.7,9.9,5.3,1.9,1.0,3.6,22.3
51,Kelly Oubre Jr.,PHI,5,33.2,18.0,6.6,16.4,40.2,2.0,6.4,31.3,2.8,3.8,73.7,1.4,3.2,4.6,0.8,1.2,0.2,1.6,12.4
51,Victor Wembanyama,SAS,6,31.0,18.0,6.3,14.8,42.7,1.5,6.8,22.0,3.8,4.2,92.0,2.0,7.8,9.8,3.2,1.0,3.0,3.5,22.7
53,Darius Garland,CLE,7,28.1,17.9,6.7,13.7,49.0,2.7,6.7,40.4,1.7,1.7,100,0.6,1.4,2.0,6.3,1.1,0.4,2.4,18.3
54,Evan Mobley,CLE,7,29.6,17.7,7.3,13.0,56.0,0.7,1.7,41.7,2.4,2.7,89.5,1.3,7.3,8.6,2.7,1.0,1.6,2.1,23.4
55,Chet Holmgren,OKC,6,28.8,17.7,6.3,11.7,54.3,1.2,4.0,29.2,3.8,5.2,74.2,1.7,8.2,9.8,3.0,1.3,3.3,2.8,25.7
56,Mikal Bridges,NYK,5,36.6,17.6,7.2,13.8,52.2,2.4,6.2,38.7,0.8,1.4,57.1,1.2,2.2,3.4,3.8,1.6,0.8,1.0,19.0
57,Jordan Hawkins,NOP,7,32.0,17.6,5.9,13.7,42.7,2.6,6.9,37.5,3.3,3.6,92.0,0.6,4.0,4.6,1.4,0.1,0.3,1.7,14.1
58,Aaron Gordon,DEN,6,34.7,17.5,6.0,11.3,52.9,1.8,3.3,55.0,3.7,4.3,84.6,3.2,4.7,7.8,3.5,0.8,0.3,1.3,22.7
58,Ivica Zubac,LAC,6,34.3,17.5,7.3,12.7,57.9,0.0,0.0,0.0,2.8,5.2,54.8,3.8,9.2,13.0,2.5,0.8,0.8,2.2,24.8
58,Jalen Williams,OKC,6,31.0,17.5,6.8,16.0,42.7,1.8,4.8,37.9,2.0,3.0,66.7,1.0,5.7,6.7,5.3,2.0,0.5,2.5,19.3
61,Jalen Suggs,ORL,7,28.6,17.4,5.9,13.3,44.1,2.7,7.4,36.5,3.0,3.4,87.5,0.4,4.9,5.3,4.1,2.1,1.0,2.1,20.0
62,Austin Reaves,LAL,6,34.3,17.3,5.8,12.0,48.6,2.2,5.8,37.1,3.5,4.3,80.8,1.3,3.8,5.2,5.0,1.3,0.5,2.7,19.7
62,Jeremy Sochan,SAS,6,32.2,17.3,7.0,13.8,50.6,0.5,1.8,27.3,2.8,4.2,68.0,2.7,5.8,8.5,3.3,1.0,0.5,2.3,20.2
64,Terry Rozier,MIA,5,32.6,17.2,5.6,14.0,40.0,3.4,8.0,42.5,2.6,2.8,92.9,0.2,4.4,4.6,4.4,0.6,0.4,1.8,16.8
65,Franz Wagner,ORL,7,26.4,17.0,6.7,14.0,48.0,1.7,4.6,37.5,1.9,2.3,81.3,1.1,3.9,5.0,4.1,1.4,0.3,2.1,18.0
65,Jimmy Butler,MIA,5,33.0,17.0,5.4,11.2,48.2,0.2,1.6,12.5,6.0,8.4,71.4,3.2,2.4,5.6,5.6,1.8,0.4,2.0,20.2
67,Michael Porter Jr.,DEN,6,36.3,16.5,6.5,13.8,47.0,2.5,6.7,37.5,1.0,1.5,66.7,1.3,5.7,7.0,2.5,1.0,0.2,1.0,18.3
68,Bennedict Mathurin,IND,6,26.8,16.3,5.3,10.0,53.3,1.3,3.3,40.0,4.3,5.5,78.8,1.2,3.7,4.8,1.8,0.2,0.0,1.8,15.5
69,Jamal Murray,DEN,5,34.8,16.2,5.4,14.6,37.0,1.4,4.6,30.4,4.0,4.4,90.9,0.6,3.8,4.4,4.4,1.2,0.0,1.2,15.4
70,Cameron Johnson,BKN,7,33.3,16.1,5.4,12.9,42.2,3.0,8.9,33.9,2.3,2.7,84.2,0.3,3.7,4.0,3.1,0.9,0.6,0.4,16.4
71,Payton Pritchard,BOS,7,27.9,15.7,5.0,11.1,44.9,4.1,9.4,43.9,1.6,1.7,91.7,0.9,2.1,3.0,2.6,1.3,0.0,0.9,15.4
72,Bam Adebayo,MIA,5,31.4,15.2,5.4,12.4,43.5,0.6,2.6,23.1,3.8,5.4,70.4,2.8,5.8,8.6,2.8,1.2,1.0,0.8,19.4
73,Jarrett Allen,CLE,7,29.3,15.1,5.9,8.0,73.2,0.0,0.0,0.0,3.4,4.6,75.0,2.1,9.0,11.1,1.1,0.9,1.4,1.1,25.3
74,Alperen Sengun,HOU,6,28.2,15.0,5.3,13.8,38.6,0.7,1.7,40.0,3.7,5.2,71.0,4.3,7.7,12.0,3.7,1.3,0.7,2.0,20.7
75,John Collins,UTA,6,22.3,14.7,5.3,12.2,43.8,1.0,3.0,33.3,3.0,3.2,94.7,2.2,4.7,6.8,2.5,1.0,1.0,2.2,16.8
75,Josh Giddey,CHI,6,29.0,14.7,5.3,12.2,43.8,1.7,3.5,47.6,2.3,4.2,56.0,1.8,6.2,8.0,6.2,0.7,0.2,2.5,18.5
77,Christian Braun,DEN,6,35.0,14.5,5.3,10.2,52.5,1.3,3.2,42.1,2.5,2.8,88.2,1.2,3.8,5.0,2.0,1.0,1.2,1.3,17.2
77,Keegan Murray,SAC,6,37.7,14.5,5.5,12.5,44.0,2.0,6.5,30.8,1.5,1.8,81.8,2.3,5.7,8.0,1.8,0.7,0.7,0.8,17.5
77,Klay Thompson,DAL,6,29.3,14.5,5.3,12.3,43.2,3.3,9.0,37.0,0.5,0.5,100,0.8,2.5,3.3,1.7,1.0,0.3,0.5,13.3
77,Rui Hachimura,LAL,6,34.0,14.5,5.3,12.5,42.7,1.7,3.2,52.6,2.2,2.7,81.3,2.5,4.3,6.8,1.7,0.7,0.3,0.8,15.5
81,Jakob Pöltl,TOR,7,32.6,14.4,6.0,10.3,58.3,0.0,0.0,0.0,2.4,3.1,77.3,4.1,7.9,12.0,2.9,0.7,1.4,2.7,23.7
82,Myles Turner,IND,5,30.4,14.4,5.2,11.2,46.4,1.6,4.8,33.3,2.4,3.8,63.2,0.4,5.4,5.8,1.8,0.8,1.8,3.4,13.8
83,Josh Hart,NYK,5,35.6,14.2,5.2,9.4,55.3,1.2,4.2,28.6,2.6,3.2,81.3,2.4,7.6,10.0,3.6,1.4,0.0,2.4,22.0
84,Tyrese Haliburton,IND,6,34.3,14.0,4.8,14.3,33.7,2.0,8.3,24.0,2.3,3.0,77.8,1.0,3.5,4.5,7.3,1.2,0.5,1.8,15.5
85,Deandre Ayton,POR,7,31.6,13.7,6.3,13.0,48.4,0.4,1.1,37.5,0.7,0.9,83.3,2.9,8.4,11.3,1.4,0.7,0.6,1.1,19.7
86,Keyonte George,UTA,6,31.7,13.7,4.5,14.8,30.3,2.0,8.5,23.5,2.7,3.5,76.2,0.7,2.5,3.2,6.5,0.5,0.0,3.7,9.0
86,Naz Reid,MIN,6,24.8,13.7,4.7,8.5,54.9,1.8,4.3,42.3,2.5,2.7,93.8,0.5,5.7,6.2,1.8,0.2,0.7,1.5,17.0
88,Collin Sexton,UTA,6,23.5,13.5,4.2,9.3,44.6,0.5,2.2,23.1,4.7,5.3,87.5,0.2,2.2,2.3,2.3,0.8,0.2,3.0,10.3
88,Jabari Smith Jr.,HOU,6,32.7,13.5,4.5,11.0,40.9,1.8,5.7,32.4,2.7,3.2,84.2,2.7,5.5,8.2,1.2,0.5,0.5,1.0,15.8
90,Dyson Daniels,ATL,5,30.8,13.4,5.6,10.4,53.8,1.6,4.4,36.4,0.6,1.6,37.5,1.4,3.0,4.4,2.4,2.4,0.8,1.0,16.6
91,Jonathan Kuminga,GSW,6,23.5,13.3,4.5,10.2,44.3,0.7,2.7,25.0,3.7,5.2,71.0,1.2,2.7,3.8,1.5,1.0,0.5,2.0,11.0
91,Malik Monk,SAC,6,27.7,13.3,4.8,10.8,44.6,1.8,5.3,34.4,1.8,2.3,78.6,0.0,3.3,3.3,3.7,0.7,0.3,0.7,14.2
91,Miles Bridges,CHA,6,30.7,13.3,4.7,12.5,37.3,1.5,6.0,25.0,2.5,3.2,78.9,0.5,6.3,6.8,2.3,0.7,0.7,2.0,13.3
94,Santi Aldama,MEM,7,29.4,13.3,5.3,10.6,50.0,1.6,4.7,33.3,1.1,1.1,100,1.3,6.6,7.9,3.3,0.6,0.7,1.7,18.7
94,Scoot Henderson,POR,7,25.9,13.3,4.6,11.1,41.0,1.0,3.4,29.2,3.1,3.9,81.5,0.6,2.6,3.1,4.9,0.6,0.0,2.7,11.9
96,Jordan Clarkson,UTA,5,24.4,13.0,4.6,11.8,39.0,1.0,5.2,19.2,2.8,4.0,70.0,0.6,3.2,3.8,3.4,0.4,0.2,2.2,10.2
